                nu      tot_opac
513   5.414200e+06  5.160000e-18
514   5.396200e+06  5.130000e-18
515   5.378200e+06  5.090000e-18
516   5.360300e+06  5.060000e-18
517   5.342500e+06  5.020000e-18
518   5.324700e+06  4.990000e-18
519   5.307000e+06  4.950000e-18
520   5.289300e+06  4.920000e-18
521   5.271700e+06  4.890000e-18
522   5.254200e+06  4.850000e-18
523   5.236700e+06  4.820000e-18
524   5.219300e+06  4.780000e-18
525   5.201900e+06  4.750000e-18
526   5.184600e+06  4.720000e-18
527   5.167400e+06  4.690000e-18
528   5.150200e+06  4.650000e-18
529   5.133000e+06  4.620000e-18
530   5.115900e+06  4.590000e-18
531   5.098900e+06  4.560000e-18
532   5.082000e+06  4.530000e-18
533   5.065000e+06  4.500000e-18
534   5.048200e+06  4.460000e-18
535   5.031400e+06  4.430000e-18
536   5.014700e+06  4.400000e-18
537   4.998000e+06  4.370000e-18
538   4.981300e+06  4.340000e-18
539   4.964800e+06  4.310000e-18
540   4.948200e+06  4.280000e-18
541   4.931800e+06  4.250000e-18
542   4.915400e+06  4.220000e-18
543   4.899000e+06  4.190000e-18
544   4.882700e+06  4.170000e-18
545   4.866500e+06  4.140000e-18
546   4.850300e+06  4.110000e-18
547   4.834100e+06  4.080000e-18
548   4.818100e+06  4.050000e-18
549   4.802000e+06  4.020000e-18
550   4.786000e+06  4.000000e-18
551   4.770100e+06  3.970000e-18
552   4.754200e+06  3.940000e-18
553   4.738400e+06  3.910000e-18
554   4.722700e+06  3.890000e-18
555   4.706900e+06  3.860000e-18
556   4.691300e+06  3.830000e-18
557   4.675700e+06  3.810000e-18
558   4.660100e+06  3.780000e-18
559   4.644600e+06  3.750000e-18
560   4.629200e+06  3.730000e-18
561   4.613700e+06  3.700000e-18
562   4.598400e+06  3.680000e-18
563   4.583100e+06  3.650000e-18
564   4.567800e+06  3.630000e-18
565   4.552600e+06  3.600000e-18
566   4.537500e+06  3.580000e-18
567   4.522400e+06  3.550000e-18
568   4.507400e+06  3.530000e-18
569   4.492400e+06  3.500000e-18
570   4.477400e+06  3.480000e-18
571   4.462500e+06  3.460000e-18
572   4.447700e+06  3.430000e-18
573   4.432900e+06  3.410000e-18
574   4.418100e+06  3.380000e-18
575   4.403400e+06  3.360000e-18
576   4.388800e+06  3.340000e-18
577   4.374200e+06  3.310000e-18
578   4.359600e+06  3.290000e-18
579   4.345100e+06  3.270000e-18
580   4.330600e+06  3.250000e-18
581   4.316200e+06  3.220000e-18
582   4.301900e+06  3.200000e-18
583   4.287500e+06  3.180000e-18
584   4.273300e+06  3.160000e-18
585   4.259100e+06  3.140000e-18
586   4.244900e+06  3.110000e-18
587   4.230800e+06  3.090000e-18
588   4.216700e+06  3.070000e-18
589   4.202700e+06  3.050000e-18
590   4.188700e+06  3.030000e-18
591   4.174700e+06  3.010000e-18
592   4.160800e+06  2.990000e-18
593   4.147000e+06  2.970000e-18
594   4.133200e+06  2.950000e-18
595   4.119400e+06  2.930000e-18
596   4.105700e+06  2.910000e-18
597   4.092100e+06  2.890000e-18
598   4.078500e+06  2.870000e-18
599   4.064900e+06  2.850000e-18
600   4.051400e+06  2.830000e-18
601   4.037900e+06  2.810000e-18
602   4.024500e+06  2.790000e-18
603   4.011100e+06  2.770000e-18
604   3.997700e+06  2.750000e-18
605   3.984400e+06  2.730000e-18
606   3.971200e+06  2.710000e-18
607   3.957900e+06  2.690000e-18
608   3.944800e+06  2.670000e-18
609   3.931600e+06  2.660000e-18
610   3.918600e+06  2.640000e-18
611   3.905500e+06  2.620000e-18
612   3.892500e+06  2.600000e-18
613   3.879600e+06  2.580000e-18
614   3.866700e+06  2.560000e-18
615   3.853800e+06  2.550000e-18
616   3.841000e+06  2.530000e-18
617   3.828200e+06  2.510000e-18
618   3.815500e+06  2.490000e-18
619   3.802800e+06  2.480000e-18
620   3.790100e+06  2.460000e-18
621   3.777500e+06  2.440000e-18
622   3.764900e+06  2.430000e-18
623   3.752400e+06  2.410000e-18
624   3.739900e+06  2.390000e-18
625   3.727500e+06  2.380000e-18
626   3.715100e+06  2.360000e-18
627   3.702700e+06  2.340000e-18
628   3.690400e+06  2.330000e-18
629   3.678100e+06  2.310000e-18
630   3.665900e+06  2.300000e-18
631   3.653700e+06  2.280000e-18
632   3.641500e+06  2.260000e-18
633   3.629400e+06  2.250000e-18
634   3.617300e+06  2.230000e-18
635   3.605300e+06  2.220000e-18
636   3.593300e+06  2.200000e-18
637   3.581300e+06  2.190000e-18
638   3.569400e+06  2.170000e-18
639   3.557500e+06  2.160000e-18
640   3.545700e+06  2.140000e-18
641   3.533900e+06  2.130000e-18
642   3.522100e+06  2.110000e-18
